Country,Agency (native language),Abbreviation (native language),Agency (english),Abbreviation (english),Direct Parent,url description,url,url 2 description,url 2,url 3 description,url 3,url 4 description,url 4,url 5 description,url 5,url 6 description,url 6,url 7 description,url 7,Description
CN,科技日报,,Science and Technology Daily,,MOST,,,,,,,,,,,,,,,"Science and Technology Daily, a newspaper focusing on science and technology issues published by MOST."
CN,国家外国专家局,,State Administration of Foreign Experts Affairs,SAFEA,MHRSS,,,,,,,,,,,,,,,"The State Administration of Foreign Experts Affairs (SAFEA) is a deputy ministerial-level agency absorbed by the State Council’s Ministry of Human Resources and Social Security (MHRSS) in the March 2023 reforms. SAFEA is responsible for the recruitment of foreign experts to work in Chinese institutions, including overseas Chinese and people from Hong Kong, Macau, and Taiwan. Its activities include the long-running Thousand Talents Program that recruits foreign-trained STEM experts to advance China’s high-tech sector (now known as the National High-end Foreign Experts Recruitment Plan), which has allegedly facilitated intellectual property theft and illicit technology transfer from Western countries. The top policy coordination body dedicated to human capital is the CCP Central Coordination Group on Talent Work, which was established in 2003 and reportedly is led by the Director of the powerful CCP Organization Department."
CN,工业和信息化部,,Ministry of Industry and Information Technology ,MIIT,SC,,,,,,,,,,,,,,,"The Ministry of Industry and Information Technology (MIIT) is a constituent department of the State Council that is a powerful force in China’s technology policy. It is responsible for industrial development; industrial policy; industrial standards; industry operations monitoring; indigenous innovation; information technology; national information security; the development of major equipment industries for manufacturing and transportation; the development of high-tech industries such as biomedicine, new materials, and aerospace; and the management of communications industries such as internet infrastructure, software, telephones, television, radio, airwaves, satellites, and the knowledge economy. In the March 2023 institutional reforms, MIIT acquired new responsibilities for high-tech industry development, local science and technology zones and industrial parks, science and technology service industries and intermediary organizations, and technology markets.

 

MIIT administers the deputy ministerial-level State Administration of Science, Technology, and Industry for National Defense (SASTIND), a State Council bureau that manages the national defense science and technology industries, supervises civil-to-military technology conversion efforts, organizes international cooperation in defense industries, and manages arms exports by military enterprises. It has specific responsibility for the planning and management of the nuclear, aerospace, aviation, shipping, and armament industries, as well as managing the military electronics industry, nuclear power plant construction, isotope production, and the production and circulation of civilian explosives. Many leading cadres in the technology field, including several who became provincial or even national leaders (such as Ma Xingrui and Zhang Guoqing), have worked there. MIIT administers two other deputy ministerial-level State Council bureaus: the China National Space Administration (CNSA), which manages the civilian space industry and international space cooperation, and the China Atomic Energy Authority (CAEA), which manages the nuclear energy industry and international nuclear cooperation.

 

MIIT houses the General Offices of several technology-related State Council policy coordination bodies: the State Leading Group for the Development of the National Integrated Circuit Industry, founded in 2014; the State Leading Group for Building a Manufacturing Power, founded in 2015 to oversee the Made in China 2025 strategy to enhance the country’s dominance of key advanced manufacturing industries; the State Leading Group for the Development of the New Materials Industry, founded in 2016 to manage issues such as nanotechnology and rare earths; and the State Council Leading Group for the Promotion of Small- and Medium-Sized Enterprises, founded in 2009, which has become more relevant as Beijing increasingly focuses on smaller but more specialized technology firms. The latest public records suggest that all these leading groups are headed by the Vice Premier with the industry portfolio, who is currently Zhang Guoqing; the MIIT Minister and others serve as Deputies; and an MIIT Deputy Minister leads the General Office (although this inference is speculative for the last-named group).

 

MIIT oversees the China Academy of Information and Communications Technology (CAICT), an official think tank that is an influential player in China’s telecommunications and digital economy sectors, including with respect to standards, technical trials, and emerging technologies. It also oversees seven universities that are among China’s leading STEM institutions, including four elite institutions that produce many of China’s leading engineers, scientists, and technologists and are important enough for the CCP’s Organization Department to appoint their party secretaries and presidents: Beijing University of Aeronautics and Astronautics (“Beihang”), Beijing Institute of Technology, Harbin Institute of Technology, and Northwestern Polytechnical University. Other STEM heavyweights include Tsinghua University in Beijing and the University of Science and Technology of China in Hefei."
CN,国家国防科技工业局,,"State Administration of Science, Technology, and Industry for National Defense",SASTIND,MIIT,,,,,,,,,,,,,,,"State Council bureau that manages the national defense science and technology industries, supervises civil-to-military technology conversion efforts, organizes international cooperation in defense industries, and manages arms exports by military enterprises. It has specific responsibility for the planning and management of the nuclear, aerospace, aviation, shipping, and armament industries, as well as managing the military electronics industry, nuclear power plant construction, isotope production, and the production and circulation of civilian explosives."
CN,中国国家航天局,,China National Space Administration,CNSA,MIIT,,,,,,,,,,,,,,,"China National Space Administration (CNSA), which manages the civilian space industry and international space cooperation"
CN,中国国家原子能机构,,China Atomic Energy Authority,CAEA,MIIT,,,,,,,,,,,,,,,"China Atomic Energy Authority (CAEA), which manages the nuclear energy industry and international nuclear cooperation"
CN,中国信息通信研究院,,China Academy of Information and Communications Technology,CAICT,MIIT,,,,,,,,,,,,,,,"China Academy of Information and Communications Technology (CAICT), an official think tank that is an influential player in China’s telecommunications and digital economy sectors, including with respect to standards, technical trials, and emerging technologies. It also oversees seven universities that are among China’s leading STEM institutions, including four elite institutions that produce many of China’s leading engineers, scientists, and technologists and are important enough for the CCP’s Organization Department to appoint their party secretaries and presidents: Beijing University of Aeronautics and Astronautics (“Beihang”), Beijing Institute of Technology, Harbin Institute of Technology, and Northwestern Polytechnical University. Other STEM heavyweights include Tsinghua University in Beijing and the University of Science and Technology of China in Hefei."
CN,国家市场监督管理总局,,State Administration for Market Regulation,SAMR,SC,,,,,,,,,,,,,,,"The State Administration for Market Regulation (SAMR) is a ministerial-level agency directly under the State Council with responsibility for registering market entities; creating social credit systems for market entities; and regulating market operations, market competition, monopolies, advertising, multilevel marketing, intellectual property, food safety, equipment safety, measurement, national standards, industrial product quality and safety, and commercial inspection and testing. Established by the merger of several regulators in March 2018, the SAMR has emerged as an influential actor in regulatory politics, especially during Xi’s rectification campaign against China’s large platform technology firms, which it leveraged to increase its bureaucratic resources and issue sizeable fines on top companies.

 

SAMR operates several deputy ministerial-level State Council bodies with important regulatory functions in the technology sphere. The Standardization Administration of China (SAC) oversees technical and industrial standardization work and represents China in international standardization bodies (although MIIT interfaces with the United Nations International Telecommunication Union). TC260 is a particularly influential standard-setting body under the SAC and is responsible for standards related to cybersecurity and online personal information protection under Xi’s new cyber-governance regime. The China National Certification and Accreditation Administration (CNCA) is responsible for certification and accreditation related to industrial quality, industrial safety, and public hygiene. The National Medical Products Association (NMPA) regulates, supervises, and formulates standards for medical devices, cosmetics, and pharmaceuticals (including those used in Traditional Chinese Medicine).

 

SAMR is a pivotal actor in the implementation and enforcement of the recently amended Anti-Monopoly Law. The National Anti-Monopoly Bureau (NAMB), founded in November 2021, consists of three SAMR departments that investigate and handle administrative monopolies and unfair competition; investigate monopolistic collusion and abuse of market power; and review the concentration of business operators. The NAMB also functions as the General Office of the State Council Anti-Monopoly Commission, which was established in 2008 to coordinate state competition policies and regulatory frameworks, and the National Leading Group for Combating Intellectual Property Infringement and the Production and Sale of Counterfeit and Inferior Goods; both bodies are led by the Vice Premier in charge of market regulation, currently Zhang Guoqing. SAMR also provides guidance to the China Consumers Association, a state-affiliated “social organization” that is often used by the government as a mouthpiece to publicly target both domestic and foreign companies whose business practices create political problems."
CN,中国国家知识产权局,,China National Intellectual Property Administration,CNIPA,SC,,,,,,,,,,,,,,,"The China National Intellectual Property Administration (CNIPA) is a deputy ministerial-level organ directly under the State Council that is responsible for protecting intellectual property rights; handling foreign intellectual property matters; and registering and adjudicating patents, trademarks, and geographical designations of origin. Before the 2023 institutional reforms, CNIPA was managed by SAMR, which still has enforcement responsibility for patent and trademark issues."
CN,国家发展和改革委员会,,National Development and Reform Commission,NDRC,SC,,,,,,,,,,,,,,,"The National Development and Reform Commission (NDRC) is arguably the most powerful ministerial-level constituent department of the State Council and plays a pivotal role in coordinating governance matters on both energy and the environment. Formerly the State Planning Commission and the State Development Planning Commission, the NDRC oversees China’s economic development planning process, which at its highest level produces the national Five-Year Plan. The NDRC is the macro-level control department and has responsibility for formulating a broad range of economic and social policies, which often overlap with the mandates of other ministries and agencies. The main functions of the NDRC, and especially its Department of Innovation and High-Tech Development, include promoting innovation-driven development in economic planning and working with other ministries to formulate policies related to innovation, entrepreneurship, industrial upgrading, high-tech industries, strategic emerging industries, and the national layout of science and technology infrastructure. In March 2023, it acquired responsibility for formulating plans for science and technology to promote economic development from the Ministry of Science and Technology. The NDRC is part of the Inter-ministerial Joint Conference for the Digital Economy, together with the Cyberspace Administration of China and the Ministry of Industry and Information Technology.

 The NDRC is China’s main macroeconomic control institution. It has responsibility for formulating a broad range of economic and social policies, often in conjunction with other line ministries, including Xi’s “common prosperity” agenda. These responsibilities include economic targets, price policies, market policies, supply-side structural reform, overseas investment, domestic investment policy, regional development strategies, industrial development strategies, major infrastructure projects, consumption policy, innovation-driven development, scientific and technological infrastructure, high-tech industries, social development, basic public services, sustainable development, and the social credit system. The NDRC works with the Ministry of Commerce to draft negative lists for foreign investment at the national level and for various special economic zones, and with the National Health Commission to research demographic trends and formulate population policies. The NDRC also manages the General Offices of many leading groups that coordinate policymaking on specific priority issues, giving it added bureaucratic leverage in these areas. These groups include the National Defense Mobilization Committee, State Council Leading Group for Western Development, and State Council Leading Group for the Revitalization of Old Industrial Bases in Northeast China — which are led by the Premier — and the State Council Leading Group for Promoting the Belt and Road Initiative, Leading Group for Coordinated Development of the Beijing-Tianjin-Hebei Region, Leading Group for Promoting the Development of the Yangtze River Economic Belt, Leading Group for Promoting the Development of the Guangdong-Hong Kong-Macao Greater Bay Area, and Leading Group for Promoting Comprehensive Deepening of Reform and Opening in Hainan—which are led by the Executive Vice Premier, usually with the NDRC Chairman as Office Director. The NDRC administers three deputy ministerial-level agencies: the National Food and Strategic Reserves Administration, the National Energy Administration, and the National Data Administration.

The NDRC manages the National Data Administration (NDA), a new deputy ministerial-level State Council bureau announced in the party-state institutional reforms of March 2023. The NDA will oversee building the data infrastructure system; coordinating the integration, sharing, development and utilization of data resources; and overall planning of Digital China, the digital economy, digital social regulation and construction, and similar policy areas. The NDA takes oversight of the economic applications of data from the security-focused Cyberspace Administration of China by acquiring its responsibilities for smart cities, the digitization of public services, cross-department government data sharing, and the development and use of nationally important information. It also takes on the NDRC’s previous responsibilities for the national big data strategy, digital economy, and digital infrastructure. Early conjectures suggest that the NDA will chiefly focus on nurturing the market for data as a “factor of production,” with the consolidation of data oversight under one agency potentially helping to rectify inefficiencies that arose from the fragmentation of regulatory jurisdictions across many agencies and ministries."
CN,中国科学院,,Chinese Academy of Sciences,CAS,SC,,,,,,,,,,,,,,,"The Chinese Academy of Sciences (CAS) is a national center for promoting academic research in the natural sciences and high-end technology that advances China’s modernization goals. It is the largest research institute in the world, featuring a dozen branches around the country, several dozen research institutes, and even two universities. It also invests in hundreds of companies that aim to commercialize basic academic research. The title of “academician” of the CAS is granted to the country’s top scientists; currently, there are more than 700 Chinese academicians and over 50 foreign academicians."
CN,中国工程院,,Chinese Academy of Engineering,CAE,SC,,,,,,,,,,,,,,,"The Chinese Academy of Engineering (CAE) is like the CAS in that it is the national center for promoting research in engineering science and technology, but it is much smaller in its research operations and advises the central government and local governments on engineering-related policies and plans."
CN,NPC 教育科学文化和公共卫生委员会,,"NPC Education, Science, Culture, and Public Health Committee",,NPC,,,,,,,,,,,,,,,"Legislative work related to science and technology issues is supervised and evaluated in the National People’s Congress (NPC) by the ministerial-level NPC Education, Science, Culture, and Public Health Committee, which has existed since 1983."
CN,政协教科卫体委员会,,"CPPCC Education, Science, Health, and Sports Committee",,CPPCC,,,,,,,,,,,,,,,"United Front work related to the science and technology sphere in the Chinese People’s Political Consultative Conference (CPPCC) is overseen by the ministerial-level CPPCC Education, Science, Health, and Sports Committee, founded in 1988, which liaises with the scientific community and consults on related policies."
CN,中国科学技术协会,,China Association for Science and Technology ,CAST,,,,,,,,,,,,,,,,"The China Association for Science and Technology (CAST) is a purportedly nongovernmental “people’s organization” that represents China’s scientists and technologists. CAST sits atop a sprawling network of provincial associations and several dozen academic and professional associations dedicated to different branches of science and technology. CAST is part of the CCP’s United Front system for co-opting members of important social groups who are not party members; its purpose, according to its constitution, is to propagate party policies to and solicit policy suggestions from science and technology workers. CAST is led by a ministerial-level CCP Secretary and a President. It plays a role in recruiting foreign STEM talent to work in China, allegedly helping to facilitate illicit technology transfer."
CN,国有资产监督管理委员会,,State-owned Assets Supervision and Administration Commission,SASAC,SC,,,,,,,,,,,,,,,"The State Council’s State-owned Assets Supervision and Administration Commission (SASAC) oversees several central SOEs that are major players in domestic and international telecommunications technology (see the “Military” and “Environment” sections for SOEs involved in those policy areas). The China Electronics Corporation and China Electronics Technology Group Corporation manufacture telecommunications equipment such as network infrastructure, integrated circuits, computers, displays, antennae, software, and other high-tech electronics; the latter is focused on supplying electronics to the Chinese military. China Mobile, China Unicom, and China Telecom provide a variety of telecommunications services in China. China Hualu Group focuses on audio and video electronics and associated technology. Private firms such as Huawei, Lenovo, and HikVision are also important forces in technology development and often work closely with the government."
CN,商务部,,Ministry of Commerce,MOFCOM,SC,,,,,,,,,,,,,,,"The Ministry of Commerce (MOFCOM) is a constituent department of the State Council that has primary responsibility for policy regarding domestic trade, foreign trade, export and import regulations, foreign direct investment, market competition, commodity market operations, consumer protection, industrial damage investigations, anti-dumping and countervailing measures, international economic cooperation, relations with the World Bank, and economic cooperation with Hong Kong, Macao, and Taiwan. It works with the NDRC to draw up negative lists for foreign investment. The ministry lost its powers in the areas of anti-monopoly, intellectual property, counterfeit goods, foreign aid, and some financial products in the party-state reforms of March 2018. A ministerial-level MOFCOM Deputy Minister serves as China’s International Trade Representative, who leads China’s negotiations for bilateral and multilateral trade agreements."
CN,农业农村部,,Ministry of Agriculture and Rural Affairs,MARA,SC,,,,,,,,,,,,,,,"The Ministry of Agriculture and Rural Affairs (MARA) is a constituent department of the State Council that plays an important role in economic policymaking for China’s rural areas, where almost 35 percent of the Chinese population still lives. Formed as an expansion of the old Ministry of Agriculture in March 2018, MARA is responsible for policies related to the “three rural issues” of China’s development—agriculture (especially agricultural industrialization), rural areas (especially urban-rural economic disparities), and farmers (especially urban-rural income disparities). It manages farming, fisheries, animal husbandry, farmland resources, irrigation projects, land reclamation, agricultural mechanization, agricultural product quality and safety, and agricultural investments. It gained responsibility for policies related to rural science and technology from the Ministry of Science and Technology in March 2023 and absorbed the deputy ministerial-level National Rural Revitalization Administration. Greater attention to rural development reflects Xi’s mission in his second term to end absolute poverty in rural areas and his goal in his third term to narrow the urban-rural divide under his “common prosperity” agenda. MARA also houses the General Office of the CCP Central Rural Work Leading Group (CRWLG), which is led by a Vice Premier, with the MARA Minister as Director and representatives from the ministries and agencies in charge of agriculture, water, forestry, poverty alleviation, and development and reform."
CN,海关总署,,General Administration of Customs,GAC,SC,,,,,,,,,,,,,,,"The General Administration of Customs (GAC) is a ministerial-level agency responsible for export and import supervision, customs inspections, port management, and collecting various taxes such as customs duties, excise duties, and air passenger duties."
CN,国家统计局,,National Bureau of Statistics,NBS,SC,,,,,,,,,,,,,,,"The National Bureau of Statistics (NBS) is a deputy ministerial-level agency responsible for collecting, researching, and publishing national economic and social statistics and for national economic accounting."
CN,中国人民银行,,People's Bank of China,PBoC,,,,,,,,,,,,,,,,
CN,财政部,,Ministry of Finance,MOF,SC,,,,,,,,,,,,,,,
